"la","year","sex","c_35","c_50","c_65","c_80","c_85"
"E06000001",2002,"female",0.0995365,0.108372,0.130405,0.113885,0.100155
"E06000001",2002,"male",0.0958765,0.0989395,0.0961176,0.0810255,0.115567
"E06000001",2003,"female",0.0934676,0.104959,0.101869,0.135239,0.152086
"E06000001",2003,"male",0.098248,0.100915,0.103042,0.113757,0.0644796
"E06000001",2004,"female",0.09309,0.0954836,0.103981,0.14232,0.254393
"E06000001",2004,"male",0.0897686,0.0960452,0.10643,0.108493,0.218553
"E06000001",2005,"female",0.100944,0.105255,0.111863,0.123287,0.15437
"E06000001",2005,"male",0.0952518,0.0892932,0.0996784,0.0825924,0.129587
"E06000001",2006,"female",0.0911653,0.109543,0.115796,0.119626,0.139314
"E06000001",2006,"male",0.101633,0.103909,0.0996257,0.0777754,0.0647052
"E06000001",2007,"female",0.0952452,0.108038,0.109921,0.174451,0.217626
"E06000001",2007,"male",0.0926549,0.10579,0.0946408,0.125923,0.200883
"E06000001",2008,"female",0.0926988,0.105908,0.114328,0.14162,0.218691
"E06000001",2008,"male",0.104744,0.104025,0.104262,0.123165,0.140489
"E06000001",2009,"female",0.0928517,0.105044,0.131454,0.127221,0.148909
"E06000001",2009,"male",0.0902373,0.103126,0.0912621,0.118517,0.250188
"E06000001",2010,"female",0.0891592,0.108017,0.102689,0.104049,0.129518
"E06000001",2010,"male",0.0852894,0.0989023,0.107661,0.139174,0.157871
"E06000001",2011,"female",0.0904672,0.105303,0.123967,0.114372,0.214766
"E06000001",2011,"male",0.0888407,0.108203,0.108859,0.121603,0.155532
"E06000001",2012,"female",0.0893582,0.103103,0.107603,0.217005,0.176492
"E06000001",2012,"male",0.0919726,0.103456,0.106885,0.145667,0.138116
"E06000001",2013,"female",0.0874003,0.0936424,0.113098,0.143367,0.145797
"E06000001",2013,"male",0.0882782,0.100504,0.0894885,0.155874,0.0971295
"E06000002",2002,"female",0.103116,0.102003,0.110172,0.121081,0.10297
"E06000002",2002,"male",0.0955073,0.0977272,0.0962383,0.0882606,0.0918908
"E06000002",2003,"female",0.096802,0.0932775,0.109189,0.115983,0.161992
"E06000002",2003,"male",0.100921,0.0989386,0.0950514,0.0772627,0.0731677
"E06000002",2004,"female",0.0940985,0.107421,0.10477,0.121022,0.196551
"E06000002",2004,"male",0.096047,0.0976444,0.0955062,0.0971865,0.181554
"E06000002",2005,"female",0.0922707,0.105565,0.113821,0.101356,0.13966
"E06000002",2005,"male",0.0964736,0.101118,0.104947,0.0909263,0.125798
"E06000002",2006,"female",0.0972026,0.106035,0.112731,0.0781675,0.141839
"E06000002",2006,"male",0.0977029,0.0951906,0.09991,0.089748,0.0953185
"E06000002",2007,"female",0.0957139,0.0951512,0.106682,0.119911,0.172277
"E06000002",2007,"male",0.0870414,0.0972012,0.102909,0.107727,0.177994
"E06000002",2008,"female",0.0987659,0.105391,0.106037,0.139211,0.125024
"E06000002",2008,"male",0.0946215,0.0952731,0.104468,0.0982127,0.138668
"E06000002",2009,"female",0.0974418,0.107191,0.115881,0.128551,0.122253
"E06000002",2009,"male",0.0889635,0.0980963,0.107334,0.119624,0.0824703
"E06000002",2010,"female",0.0932059,0.102548,0.118291,0.16804,0.136394
"E06000002",2010,"male",0.0909218,0.101748,0.117071,0.113798,0.125652
"E06000002",2011,"female",0.0978559,0.0991193,0.126457,0.128348,0.186954
"E06000002",2011,"male",0.0929872,0.101391,0.105629,0.121495,0.14883
"E06000002",2012,"female",0.0932568,0.108734,0.104853,0.115029,0.212921
"E06000002",2012,"male",0.0940508,0.105167,0.0988319,0.121325,0.100789
"E06000002",2013,"female",0.0921632,0.10716,0.125002,0.152286,0.159883
"E06000002",2013,"male",0.0955474,0.100614,0.108168,0.13756,0.182371
"E06000003",2002,"female",0.102547,0.104097,0.109669,0.13474,0.245916
"E06000003",2002,"male",0.111905,0.110803,0.105872,0.089872,0.0235243
"E06000003",2003,"female",0.0991518,0.107086,0.111801,0.125253,0.222496
"E06000003",2003,"male",0.1002,0.107333,0.112022,0.123081,0.160045
"E06000003",2004,"female",0.0967968,0.103298,0.104372,0.129234,0.252047
"E06000003",2004,"male",0.098099,0.0993516,0.104085,0.0969302,0.117677
"E06000003",2005,"female",0.0943333,0.104803,0.110612,0.131786,0.261152
"E06000003",2005,"male",0.0948423,0.102397,0.103031,0.137004,0.122618
"E06000003",2006,"female",0.0941822,0.101917,0.101748,0.118022,0.090348
"E06000003",2006,"male",0.096379,0.107721,0.112681,0.139023,0.127387
"E06000003",2007,"female",0.0925965,0.102019,0.106438,0.165552,0.240486
"E06000003",2007,"male",0.0969248,0.0992771,0.104017,0.144874,0.191274
"E06000003",2008,"female",0.0946817,0.11285,0.118141,0.112974,0.139546
"E06000003",2008,"male",0.0956914,0.101929,0.110154,0.127488,0.13124
"E06000003",2009,"female",0.10074,0.107247,0.118717,0.125956,0.187789
"E06000003",2009,"male",0.0991497,0.0990978,0.108313,0.125806,0.196814
"E06000003",2010,"female",0.0848493,0.09395,0.118777,0.14313,0.217841
"E06000003",2010,"male",0.0910267,0.108157,0.102866,0.104329,0.196633
"E06000003",2011,"female",0.0966378,0.106258,0.112942,0.120482,0.10858
"E06000003",2011,"male",0.0932762,0.104451,0.111607,0.0929137,0.171838
"E06000003",2012,"female",0.0936127,0.0936718,0.119013,0.144927,0.153396
"E06000003",2012,"male",0.0927828,0.103157,0.102461,0.10024,0.155548
"E06000003",2013,"female",0.0869102,0.097855,0.112952,0.165639,0.191239
