"sex","la","year","e50","e65","e80","e85"
"female","E06000001",2001,NA,NA,NA,NA
"female","E06000001",2002,77.4329,79.7113,84.1982,86.9804
"female","E06000001",2003,76.0701,78.3912,84.2115,87
"female","E06000001",2004,75.5013,78.432,84.1859,87.1194
"female","E06000001",2005,76.6306,78.992,84.0938,86.5176
"female","E06000001",2006,77.0403,79.4249,84.3155,86.6484
"female","E06000001",2007,76.4715,79.1624,84.7308,86.7358
"female","E06000001",2008,76.8677,79.4109,84.6429,86.907
"female","E06000001",2009,77.5791,80.4984,84.7219,86.9806
"female","E06000001",2010,76.6973,79.3938,84.5556,86.9756
"female","E06000001",2011,77.6603,80.3375,84.5385,87.1458
"female","E06000001",2012,76.841,79.848,85.1394,87.0729
"female","E06000001",2013,76.2745,79.7867,84.7529,87
"female","E06000002",2001,NA,NA,NA,NA
"female","E06000002",2002,76.6839,79.0427,84.3619,87.0076
"female","E06000002",2003,76.0146,79.0021,84.2321,87.1835
"female","E06000002",2004,76.5446,78.9109,84.1686,87.0777
"female","E06000002",2005,76.7343,79.2977,84.0187,86.6957
"female","E06000002",2006,76.8185,79.2505,83.916,86.6321
"female","E06000002",2007,76.5414,79.4699,84.4061,86.8516
"female","E06000002",2008,77.3671,79.7688,84.7643,86.8882
"female","E06000002",2009,77.7192,80.1618,84.6893,86.8824
"female","E06000002",2010,77.1484,79.9306,84.9551,86.9718
"female","E06000002",2011,76.988,80.2629,84.7068,87.1825
"female","E06000002",2012,76.8566,79.3549,84.4115,87.0403
"female","E06000002",2013,77.303,80.2894,84.7536,86.9669
"female","E06000003",2001,NA,NA,NA,NA
"female","E06000003",2002,76.4588,79.2514,84.3429,87.1628
"female","E06000003",2003,76.9395,79.6862,84.3975,87.2518
"female","E06000003",2004,76.6435,79.2302,84.3165,87.2069
"female","E06000003",2005,76.762,79.3277,84.2644,87.0174
"female","E06000003",2006,76.5962,79.2585,84.3971,86.5396
"female","E06000003",2007,77.0259,79.6351,84.9207,87.0655
"female","E06000003",2008,77.6538,80.0269,84.5625,86.8333
"female","E06000003",2009,77.2413,80.1414,84.7372,87.0909
"female","E06000003",2010,76.6817,80.0417,84.7849,87.0993
"female","E06000003",2011,77.2841,79.6681,84.5644,86.8357
"female","E06000003",2012,76.4893,79.8069,84.76,87
"female","E06000003",2013,76.9464,79.5786,84.9432,87.1477
"female","E06000004",2001,NA,NA,NA,NA
"female","E06000004",2002,76.1874,78.8731,84.2347,86.965
"female","E06000004",2003,76.8746,79.7239,84.1399,86.8079
"female","E06000004",2004,76.2773,79.2362,84.1361,87.0551
"female","E06000004",2005,77.2883,79.346,84.1927,86.8272
"female","E06000004",2006,77.0222,79.4476,84.3054,86.5366
"female","E06000004",2007,77.1541,79.8636,84.3965,86.8547
"female","E06000004",2008,76.9561,79.6978,84.5806,86.9156
"female","E06000004",2009,76.8843,79.8076,84.5807,86.7688
"female","E06000004",2010,77.2072,79.6587,84.4667,86.9396
"female","E06000004",2011,77.142,80.1993,84.7333,87
"female","E06000004",2012,77.1688,80.1281,84.754,86.9261
"female","E06000004",2013,77.5423,79.9192,84.5893,87.0833
"female","E06000005",2001,NA,NA,NA,NA
"female","E06000005",2002,77.3506,79.7077,84.4779,87.0244
"female","E06000005",2003,77.4115,79.5833,83.9356,87.2289
"female","E06000005",2004,76.9679,79.4705,84.4652,86.9908
"female","E06000005",2005,77.5537,80.2438,84.4648,86.9904
"female","E06000005",2006,78.6074,80.1771,84.5207,86.7244
"female","E06000005",2007,78.3942,80.7236,84.654,86.9677
"female","E06000005",2008,78.3049,80.6322,84.443,87.0619
"female","E06000005",2009,77.7751,80.6769,85.0241,87.0199
"female","E06000005",2010,77.3736,79.9617,84.7258,87
"female","E06000005",2011,77.1197,80.2052,84.686,87.21
"female","E06000005",2012,77.7604,80.185,84.802,86.8829
"female","E06000005",2013,78.3013,80.8076,85.1448,87.1579
"female","E06000006",2001,NA,NA,NA,NA
"female","E06000006",2002,76.5868,79.5035,84.4848,87.1429
"female","E06000006",2003,75.9623,79.6096,84.2889,87.2632
"female","E06000006",2004,76.0321,79.0847,84.0633,86.764
"female","E06000006",2005,75.9521,79.1457,84.4245,86.6486
"female","E06000006",2006,75.7707,79.4912,84.3971,86.88
"female","E06000006",2007,76.4944,79.2159,84.4878,86.9901
"female","E06000006",2008,76.3917,79.6355,84.518,87.32
"female","E06000006",2009,76.1425,79.7968,84.7441,87.0179
"female","E06000006",2010,75.7221,79.3054,84.3867,86.8764
"female","E06000006",2011,75.6128,79.1719,84.7363,87.043
"female","E06000006",2012,76.1303,79.2796,84.756,86.8947
"female","E06000006",2013,76.2313,78.5294,84.5377,86.9174
"female","E06000007",2001,NA,NA,NA,NA
"female","E06000007",2002,77.3674,79.8411,84.5332,86.8808
"female","E06000007",2003,78.0477,80.0254,84.5913,87.0829
"female","E06000007",2004,77.1196,79.5302,84.5015,87.1242
"female","E06000007",2005,77.2723,80.2028,84.4792,86.7073
"female","E06000007",2006,76.7218,79.5169,84.4787,86.759
"female","E06000007",2007,77.2094,79.9121,84.6292,86.7487
"female","E06000007",2008,77.2073,80.0789,84.861,86.8018
"female","E06000007",2009,77.9741,80.2991,84.9513,87.1015
"female","E06000007",2010,77.7082,80.5445,85.0085,87.2121
"female","E06000007",2011,76.86,79.8187,84.4907,86.843
"female","E06000007",2012,77.6793,80.459,84.9686,87.0457
"female","E06000007",2013,77.3816,79.9661,84.6469,86.9947
"female","E06000008",2001,NA,NA,NA,NA
"female","E06000008",2002,76.3857,78.9063,84.4628,86.9435
"female","E06000008",2003,76.9894,79.5232,84.6491,87.291
"female","E06000008",2004,76.4895,79.6004,84.268,87.1262
"female","E06000008",2005,76.2108,78.8369,84.4398,86.7925
"female","E06000008",2006,76.5975,79.5432,84.2929,86.5268
"female","E06000008",2007,77.2819,79.5203,84.3984,86.8167
"female","E06000008",2008,77.3567,80.3357,84.7717,86.8601
"female","E06000008",2009,77.2567,79.9913,84.8022,87.0537
"female","E06000008",2010,77.6456,80.4106,84.9298,86.965
"female","E06000008",2011,76.0776,78.9947,84.5412,87.0632
"female","E06000008",2012,76.6267,79.6649,84.7346,87.0982
"female","E06000008",2013,77.0797,79.6639,84.598,86.9619
"female","E06000009",2001,NA,NA,NA,NA
"female","E06000009",2002,77.2922,79.8306,84.4637,86.912
"female","E06000009",2003,77.9023,80.0548,84.5679,87.2551
"female","E06000009",2004,76.9372,80.1333,84.5121,87.2292
"female","E06000009",2005,76.7442,79.5956,84.2493,86.8629
"female","E06000009",2006,77.0813,79.7559,84.4478,86.9066
"female","E06000009",2007,77.1814,80.0931,84.6053,86.7228
"female","E06000009",2008,77.701,80.3925,84.869,86.9194
"female","E06000009",2009,77.2579,80.0163,84.8139,86.989
"female","E06000009",2010,77.4052,80.1241,84.8204,87.0984
"female","E06000009",2011,77.4518,79.9545,84.7539,87.0698
"female","E06000009",2012,77.308,80.0399,84.9003,87.1848
"female","E06000009",2013,77.1109,79.696,84.9146,86.9341
"female","E06000010",2001,NA,NA,NA,NA
"female","E06000010",2002,77.0629,79.0854,84.1582,87.0324
"female","E06000010",2003,77.5501,79.8653,84.4305,87.2746
"female","E06000010",2004,77.3327,79.5428,84.4126,87.1814
"female","E06000010",2005,76.4611,79.162,84.3728,86.8517
"female","E06000010",2006,76.9255,79.4274,84.3709,86.6476
"female","E06000010",2007,77.3233,79.8635,84.5781,86.7346
"female","E06000010",2008,76.7801,79.9241,84.6576,86.917
"female","E06000010",2009,77.767,80.4539,85.1452,87.1089
"female","E06000010",2010,77.1009,79.9974,84.5324,86.944
"female","E06000010",2011,76.7786,79.9777,84.7898,86.9916
"female","E06000010",2012,77.4843,80.0678,84.8112,86.9959
"female","E06000010",2013,77.323,80.3974,84.6618,86.8988
"female","E06000011",2001,NA,NA,NA,NA
"female","E06000011",2002,77.5438,80.1332,84.7127,86.9303
"female","E06000011",2003,77.6448,80.05,84.677,87.0718
"female","E06000011",2004,77.7919,80.2368,84.6129,87.0422
"female","E06000011",2005,77.6886,80.1266,84.5519,86.9833
"female","E06000011",2006,77.4567,79.9811,84.6393,86.796
"female","E06000011",2007,77.8791,80.244,84.6349,87.0187
"female","E06000011",2008,77.7107,80.5856,84.803,86.9438
"female","E06000011",2009,77.8998,80.3282,84.9458,87.0761
"female","E06000011",2010,77.9453,80.4729,84.8648,87.1024
"female","E06000011",2011,78.1097,80.2851,84.7493,87.1
"female","E06000011",2012,78.1258,80.3044,84.8682,87.0825
