"ons_code","year","region","class","adults_65_pc","adults_us6_learning_pc","adults_u65_mental_pc","adults_u65_other_pc","adults_u65_physical_pc","adults_u65_social_care_pc"
"E06000001",2009,"NE","UA",1574.08,200.492,64.4633,4.10557,69.6975,7.54958
"E06000001",2010,"NE","UA",1537.79,201.916,67.2229,42.9422,69.0454,7.84046
"E06000001",2011,"NE","UA",1541.81,186.004,60.1306,40.9914,67.4147,2.99167
"E06000001",2012,"NE","UA",1647.55,191.372,59.7108,50.7974,67.3378,12.5891
"E06000001",2013,"NE","UA",1616.25,237.216,67.8175,0,70.0829,0.0906166
"E06000002",2009,"NE","UA",1583.38,243.301,87.5761,27.4839,96.0278,21.5945
"E06000002",2010,"NE","UA",1514.63,238.52,83.4564,23.0773,89.9593,18.253
"E06000002",2011,"NE","UA",1490.54,251.341,83.0237,20.0306,93.0511,6.21555
"E06000002",2012,"NE","UA",1431.03,221.603,82.7296,15.7461,76.8203,3.80819
"E06000002",2013,"NE","UA",1380.88,220.376,73.5334,6.18495,74.3731,2.75543
"E06000003",2009,"NE","UA",1436.45,192.08,63.8809,0.556638,75.1727,3.75068
"E06000003",2010,"NE","UA",1296.79,244.697,72.024,-0.0390515,85.9133,7.04228
"E06000003",2011,"NE","UA",918.846,255.387,58.2698,22.0762,70.703,6.51871
"E06000003",2012,"NE","UA",915.697,198.775,51.8622,0,57.4271,3.53083
"E06000003",2013,"NE","UA",792.885,206.463,64.4744,0,57.1012,3.96041
"E06000004",2009,"NE","UA",1258.38,158.785,40.3273,37.3279,60.1709,8.9982
"E06000004",2010,"NE","UA",1269.67,152.785,42.9475,34.9577,58.2955,6.25484
"E06000004",2011,"NE","UA",1216.68,162.433,42.2836,36.5597,49.7177,2.9143
"E06000004",2012,"NE","UA",1099.49,141.859,32.2873,55.4752,57.526,4.67032
"E06000004",2013,"NE","UA",1057.15,139.903,30.6497,7.51736,56.2906,4.71861
"E06000005",2009,"NE","UA",1318.71,192.71,33.9897,8.51439,74.3907,2.27277
"E06000005",2010,"NE","UA",1321.47,203.738,33.0801,14.6141,73.6491,2.03341
"E06000005",2011,"NE","UA",1253.74,210.819,33.5848,12.8035,69.688,1.2836
"E06000005",2012,"NE","UA",1189.96,205.134,30.8454,8.12828,64.7834,1.3763
"E06000005",2013,"NE","UA",1165.86,184.595,33.684,5.3329,65.842,1.52598
"E06000006",2009,"NW","UA",1313.46,220.857,56.6018,23.4531,71.5278,3.19941
"E06000006",2010,"NW","UA",1446.06,215.686,55.6725,20.8519,79.7096,3.7115
"E06000006",2011,"NW","UA",1431.43,209.458,55.5456,39.2568,79.2133,4.5672
"E06000006",2012,"NW","UA",1088.82,205.074,52.6561,3.22786,65.8037,41.8441
"E06000006",2013,"NW","UA",1444.44,245.755,59.4709,20.6895,94.8584,4.26843
"E06000007",2009,"NW","UA",1406.72,183.308,54.9249,2.60435,64.0445,3.53015
"E06000007",2010,"NW","UA",1423.63,181.492,58.9715,0,61.003,5.14188
"E06000007",2011,"NW","UA",1375.58,180.227,55.9394,1.91415,52.0286,4.05107
"E06000007",2012,"NW","UA",1273.95,189.676,53.1813,1.63183,42.9579,4.21828
"E06000007",2013,"NW","UA",1191.13,189.941,50.7399,0.257481,42.235,4.96456
"E06000008",2009,"NW","UA",1607.19,186.249,58.8597,0,61.0275,35.1721
"E06000008",2010,"NW","UA",1396.95,176.022,62.5244,14.5689,63.3528,27.0548
"E06000008",2011,"NW","UA",1397.09,153.465,59.9641,11.9164,53.2242,20.2544
"E06000008",2012,"NW","UA",1175.59,168.569,94.5853,3.30549,52.4976,21.4972
"E06000008",2013,"NW","UA",1012.34,164.573,117.219,3.69878,55.516,19.841
"E06000009",2009,"NW","UA",1286.45,146.63,60.4294,18.3271,89.5771,2.74907
